Id,Sold Price
47439,886754.9375
47440,713125.1875
47441,703453.1875
47442,952799.1875
47443,1166659.5
47444,677613.625
47445,1305983.625
47446,328986.0625
47447,1351584.25
47448,623680.4375
47449,348097.09375
47450,793726.75
47451,215747.125
47452,415427.4375
47453,484617.84375
47454,551288.0625
47455,308486.34375
47456,1303757.375
47457,220689.078125
47458,166595.65625
47459,243375.53125
47460,1282250.0
47461,1302985.5
47462,994451.875
47463,1274630.0
47464,726098.125
47465,800453.4375
47466,1044778.9375
47467,761211.4375
47468,5246221.5
47469,591133.875
47470,237884.71875
47471,717940.0625
47472,477912.40625
47473,1304144.125
47474,273667.34375
47475,1549499.875
47476,521581.78125
47477,616174.5
47478,540697.3125
47479,1006127.125
47480,167371.84375
47481,177630.953125
47482,1606532.875
47483,579623.4375
47484,2009881.0
47485,572802.3125
47486,702353.125
47487,813382.875
47488,1246948.625
47489,428458.8125
47490,668630.4375
47491,464577.375
47492,414954.65625
47493,259987.921875
47494,946130.375
47495,421186.28125
47496,1465037.625
47497,1214455.875
47498,1149912.375
47499,414014.28125
47500,332431.65625
47501,161501.625
47502,477420.0
47503,382548.03125
47504,498550.0
47505,364145.34375
47506,1502690.75
47507,1134665.875
47508,585871.125
47509,929534.5625
47510,565603.9375
47511,118012.1796875
47512,559748.4375
47513,535077.8125
47514,1139700.125
47515,384769.6875
47516,630536.4375
47517,166022.46875
47518,1296355.625
47519,553305.3125
47520,1421663.75
47521,1556256.0
47522,692246.0625
47523,1313336.375
47524,397416.53125
47525,1635011.5
47526,355824.9375
47527,1381989.0
47528,216272.015625
47529,361704.90625
47530,1356883.25
47531,1549151.125
47532,649059.625
47533,1296332.125
47534,648313.5625
47535,223451.109375
47536,216453.171875
47537,1893361.0
47538,921470.9375
47539,535466.3125
47540,1134281.75
47541,390878.5
47542,763959.0
47543,1296332.125
47544,903127.6875
47545,1460028.875
47546,803332.0
47547,620660.8125
47548,1692181.125
47549,243466.53125
47550,4003069.0
47551,619514.1875
47552,371411.375
47553,1242065.875
47554,524915.6875
47555,535090.5625
47556,895139.375
47557,506256.65625
47558,1100969.0
47559,494257.1875
47560,369389.09375
47561,1272602.875
47562,1177463.75
47563,369299.625
47564,547970.0625
47565,1298742.625
47566,1036893.625
47567,437081.09375
47568,1082198.875
47569,451345.34375
47570,908103.1875
47571,302265.34375
47572,1296332.125
47573,1296332.125
47574,288682.53125
47575,958370.0625
47576,1224199.125
47577,1114590.875
47578,1086900.75
47579,1215625.0
47580,458666.0
47581,1170948.625
47582,434874.96875
47583,718022.875
47584,757429.9375
47585,471766.09375
47586,1025993.75
47587,403527.9375
47588,995508.9375
47589,392667.03125
47590,146694.953125
47591,331201.0
47592,1296332.125
47593,338776.59375
47594,811184.5
47595,342115.5
47596,1306804.625
47597,527816.625
47598,511688.15625
47599,863413.25
47600,1296332.125
47601,226153.015625
47602,457287.125
47603,200723.078125
47604,709263.875
47605,1080536.5
47606,1058505.75
47607,284526.15625
47608,143778.609375
47609,233237.78125
47610,795205.0
47611,1738793.375
47612,162991.34375
47613,840026.4375
47614,180865.484375
47615,889243.0
47616,437031.90625
47617,1076342.25
47618,599220.9375
47619,491871.25
47620,660693.1875
47621,766924.1875
47622,1262457.375
47623,1784132.0
47624,1018148.25
47625,693182.8125
47626,255548.640625
47627,394680.125
47628,200555.265625
47629,1614980.125
47630,878131.5
47631,1461618.5
47632,353088.875
47633,737626.125
47634,153030.078125
47635,610003.1875
47636,703808.125
47637,575619.25
47638,1296332.125
47639,474358.375
47640,346059.15625
47641,430133.3125
47642,806175.4375
47643,1047974.1875
47644,1094489.875
47645,203962.0
47646,295680.96875
47647,444424.59375
47648,503069.09375
47649,456811.15625
47650,1144451.125
47651,807591.3125
47652,1064820.5
47653,521136.75
47654,1183561.125
47655,806274.625
47656,1615314.375
47657,1504448.75
47658,1340315.625
47659,617548.125
47660,553711.8125
47661,1224352.125
47662,627079.3125
47663,1160526.25
47664,1821096.625
47665,1296332.125
47666,1060557.0
47667,817088.375
47668,543989.375
47669,723058.4375
47670,421473.5625
47671,766641.1875
47672,1594225.375
47673,634154.125
47674,186593.234375
47675,529238.5
